"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Belgium","BEL","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","31","46","60","60","60","64","64","77","94","94","98","97","97","97","98","98","98","98","97","97","97","97","97","97","97","",
"Benin","BEN","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","73","75","70","74","82","75","79","76","75","80","77","74","74","76","76","76","76","72","76","76","",
"Burkina Faso","BFA","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76","89","93","92","91","91","90","88","91","91","91","91","91","91","91","91","91","",
"Bangladesh","BGD","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","11","45","86","95","96","97","94","96","94","96","97","98","98","98","98","98","98","98","98","",
"Bulgaria","BGR","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71","96","94","95","94","77","97","97","94","93","88","96","94","96","96","95","96","96","95","96","95","95","95","92","91","92","85","93","91","89","91","",
"Bahrain","BHR","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57","90","93","95","96","95","95","97","97","99","98","98","98","98","98","97","97","98","99","99","99","99","98","98","99","98","99","99","98","98","97","",
"Bahamas, The","BHS","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","89","88","93","93","96","93","90","95","98","95","96","97","96","95","94","94","90","89","83","86","87","",
"Bosnia and Herzegovina","BIH","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","93","90","94","88","90","89","88","92","91","89","82","78","77","80","80","79","79","78","",
"Belarus","BLR","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","93","99","56","99","99","98","91","98","98","96","98","97","98","97","99","96","98","98","97","97","98","98","",
"Belize","BLZ","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76","96","97","96","97","96","98","96","94","97","96","95","98","95","95","94","95","88","96","98","79","83","84","",
"Bermuda","BMU","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77","77","77","80","84","85","83","84","88","93","91","95","93","87","85","89","87","84","83","75","68","70","69","",
"Brazil","BRA","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","10","15","6","13","84","94","91","92","97","96","98","99","99","96","99","96","98","96","96","96","96","89","82","87","72","77","68","77","",
"Barbados","BRB","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","66","91","93","92","84","93","85","93","86","91","87","91","94","97","97","90","95","90","85","82","86","",
"Brunei Darussalam","BRN","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96","96","96","99","99","99","98","98","99","93","99","99","99","99","99","99","99","97","96","96","96","93","99","98","99","99","99","99","99","99","99","99","99","",
"Bhutan","BTN","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","84","81","90","98","89","83","95","89","95","95","95","96","93","91","95","97","97","99","99","98","98","97","97","96","98","98","",
"Botswana","BWA","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73","62","60","77","85","86","87","88","90","91","92","93","93","94","94","95","95","95","95","95","95","95","95","95","95","95","95","86","",
"Central African Republic","CAF","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","45","47","47","23","45","43","42","42","42","42","42","42","42","",
"Canada","CAN","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","14","14","14","14","28","42","56","70","70","55","55","69","70","71","71","84","84","84","83","",
"Central Europe and the Baltics","CEB","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0.497522951940339","6.14434112871863","6.73121071405764","7.64446654525637","14.8334406490839","46.8698514210013","61.3258300835826","66.2355892791025","68.5794258295191","73.6710913484263","72.0640491009402","80.0640977199552","80.3880210964395","82.5398151751217","82.7860788564508","82.8050627891541","86.7367999325035","86.7805315818322","86.6911783604194","87.3514925895466","87.1829518515418","86.6517381201455","86.0150796686331","85.2458620234336","83.808971944305","83.2882820502215","82.8306687570334","82.2243540105914","82.337417547068","80.7767804773051","81.4682548512549","81.3328279355447","",
"Switzerland","CHE","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69","69","69","72","73","76","",
"Channel Islands","CHI","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95","92","95","94","92","94","90","90","95","97","95","93","95","96","93","95","96","",
"China","CHN","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","65","70","75","79","84","91","92","95","99","99","99","99","99","99","99","99","99","99","99","99","99","99","",
"Cote d'Ivoire","CIV","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","48","63","67","76","77","76","74","81","79","62","82","75","73","79","87","83","84","81","75","76","76","",
"Cameroon","CMR","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79","81","82","84","80","84","82","85","89","83","78","75","74","67","67","69","69","68","",
"Congo, Dem. Rep.","COD","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65","68","71","60","70","71","71","73","70","70","71","71","73","70","65","65","",
"Congo, Rep.","COG","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64","73","75","74","70","62","85","90","80","71","69","75","79","73","77","78","",
"Colombia","COL","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71","95","85","75","77","78","80","78","92","89","93","93","94","92","92","88","85","92","91","90","91","91","92","92","92","88","86","87","",
"Comoros","COM","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","77","68","69","75","81","83","74","83","89","88","88","91","91","91","91","91","91","91","88","",
"Cabo Verde","CPV","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","66","91","93","95","96","98","98","98","90","94","93","95","93","96","97","99","97","94","94","94","",
"Costa Rica","CRI","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76","86","83","89","80","94","86","89","90","88","89","89","87","89","84","91","94","91","92","97","97","98","94","91","87","94","",
"Caribbean small states","CSS","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0.609985989980269","0.620808851498824","4.63175037285538","22.7268777084669","29.8313847555421","57.3478818791513","85.7071270121154","94.3851971313028","92.5099911481214","91.7814719705013","91.2987949599847","92.2153273740471","92.8956553415536","91.3710459749133","93.4490343442958","92.4974481616075","91.7063760581337","90.6261257554562","95.0312805833406","89.7782974395177","94.8644551335213","93.5565556860074","88.5389334522415","88.5383594017073","92.1458487657411","",
"Cuba","CUB","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84","98","99","99","98","98","99","98","98","98","99","99","95","89","93","95","96","96","96","96","96","97","99","99","99","99","99","99","99","99","",
"Curacao","CUW","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","27","41","54","68","88","88","88","89","89","89","88","88","88","88","93","93","93","96","96","96","96","96","96","97","97","97","97","94","94","94","94","",
"Czechia","CZE","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86","92","98","99","98","99","99","99","99","99","99","99","99","97","96","94","96","97","96","94","94","",
"Germany","DEU","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","32","45","57","71","81","81","84","86","87","90","88","90","87","86","87","88","88","87","87","87","87","87","88","88","88","88","88","87","87","",
"Djibouti","DJI","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","88","89","88","87","81","82","78","84","68","76","84","85","70","59","59","",
"Dominica","DMA","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","93","96","99","98","98","97","96","97","98","99","91","94","99","97","92","92","",
"Denmark","DNK","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62","76","68","66","63","79","82","87","84","81","81","80","83","80","74","80","89","81","80","81","84","87","81","83","87","",
"Algeria","DZA","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81","83","80","90","91","94","95","95","95","95","95","95","91","91","91","88","84","81","77","",
"East Asia & Pacific (excluding high income)","EAP","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0.860636685959616","1.16644160866084","1.22486270069682","5.13157587702854","9.09615280365877","9.72195429384093","14.6363744037284","16.7882898172099","17.5263232613697","19.6938000164537","20.3679608657086","51.7202813211038","57.0733095622128","59.8239814067131","68.4609897498745","73.1923375825758","77.1471207285554","85.0715180527756","86.9848698006351","91.0310890208258","94.1444696913917","94.0675631320853","92.6238772359396","94.102157534853","93.3971052093295","94.5317281286787","93.6983466213168","94.3609914455419","93.9717740286751","92.7404108239062","92.752523256629","91.077779912267","84.1044043240847","89.4512507701217","",
"Early-demographic dividend","EAR","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0.00254532374512185","0.63547383756751","0.818359346977062","3.20708066657834","4.42283440559897","7.8883131810655","10.4186910294192","11.8705049960765","13.5238614397641","14.7029782631731","15.3887201795718","20.1748259161844","21.9611147685297","24.7235031099337","32.1675042706397","37.1931896847345","42.4599924586384","45.59095275256","49.8123456707268","59.8162757240553","63.8909515182946","64.5704646735274","67.3285104743135","78.8200765676535","78.4669855143906","81.9955438487055","84.4965153501693","86.071661398846","85.4210436304953","85.7099871348653","86.3942505886634","82.9590501457539","81.2767485149105","86.9572971198248","",
"East Asia & Pacific","EAS","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0.810185801046742","1.2044620830783","1.26864919643758","5.06350317620655","8.79575147221827","9.38326498049615","16.0871303241641","17.9571944195202","18.5359417260646","20.3849279390894","21.1140266582178","50.2837454462982","55.948104233544","58.5448757843828","66.5298324390959","70.9705382312831","74.8260127635288","82.3005680408279","84.0051997777636","87.865095256078","90.8450340597005","90.8202838622084","89.5989221812579","91.0171169531733","90.4687011027619","91.5757684604595","90.8105437752836","91.4479448229169","91.1192468652546","90.1314840626677","93.0223167541532","91.2421046016146","84.7986625479328","89.8285621938492","",
"Europe & Central Asia (excluding high income)","ECA","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1202298967114","1.45458156351329","2.64254742304604","2.67214410512973","3.3175008019406","3.08528169580193","5.63242987942012","7.71270720757243","31.4431215491786","45.8988669108964","70.8295891869234","79.8738328399715","88.5432105590806","91.2060258661401","91.4494718348243","94.7708263987309","92.8398271810699","92.577569846801","91.7121326052414","89.6913742515143","92.1017096210289","92.6128037618133","90.1529927777567","90.9106616271323","90.7624577887347","93.4487932800817","94.8547365306093","95.5957242865594","93.9621934060239","94.4466105933881","94.9798835517761","",
"Europe & Central Asia","ECS","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.00547839272034","6.36044984622916","8.59936232935284","10.5074088226862","18.3331585715404","21.690704674273","26.8676572207895","28.5739957904801","41.4016200153756","49.1775010776035","62.6490218080794","67.3340588932755","72.9106735965107","74.4922318092962","75.0142667920471","77.2140190484457","76.7981387882485","77.1339295843072","78.110894187774","78.5252875974401","79.9972370327934","81.1518227765926","80.7258661054211","81.5236026328639","81.7067598717545","83.627893540552","84.5721726090681","92.0078324275729","91.1137787080758","91.296558905252","91.339323271939","",
"Ecuador","ECU","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","69","75","82","88","92","96","94","93","91","90","88","88","87","83","78","83","85","85","85","70","68","70","",
"Egypt, Arab Rep.","EGY","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57","74","77","81","88","97","98","99","97","98","97","98","98","98","97","97","97","96","93","97","94","93","95","94","95","95","94","96","97","",
"Euro area","EMU","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","15.8072191572291","14.7594059820049","18.4026353036089","23.0482485395725","26.5690375421358","39.2326734808103","44.572038004579","55.6101557011683","56.9654067715411","60.043086903203","62.3051279103344","63.7847685604164","64.8530455582932","68.6455918175232","69.7165047244043","70.8761434539025","72.5793538245746","74.0388503476598","74.9944974637491","78.8775711312769","82.8755641191355","83.8084681501154","86.2525103183866","88.6177244506768","89.395352630115","89.8571763526603","89.6413375974576","90.1279111608107","90.4383813361154","90.6998564553036","90.6799477410102","90.5745774599981","",
"Eritrea","ERI","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86","91","84","96","94","95","95","95","95","94","94","94","94","95","95","95","95","95","95","95","95","",
"Spain","ESP","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82","84","81","80","77","83","82","81","97","96","97","96","97","96","97","97","96","95","96","97","97","94","96","95","94","92","93","",
"Estonia","EST","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","95","95","95","94","95","94","94","94","93","93","91","93","92","93","91","90","84","85","",
"Ethiopia","ETH","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","52","56","62","65","62","59","61","63","66","68","67","68","71","65","65","",
"European Union","EUU","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","11.5450235219993","12.5191283461367","15.3323704664326","19.0292961047139","23.5971385444488","41.5892655348268","49.2845941111841","58.1187063418116","59.0860770529619","61.3267887195649","62.6322753633235","65.6040644194501","66.4109907718612","69.4761714153041","70.2946415419462","71.2594974775779","72.6031649806748","73.7353785058294","74.5363523897681","77.6889947097892","81.3422221236425","81.9368712699623","83.7952557202634","85.6105016551676","86.1564998990451","86.7116946276681","86.6278750628882","87.2218577944879","87.567522946925","87.4037994049328","87.2004481100202","86.8682071575732","",
"Fragile and conflict affected situations","FCS","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0.0104237178676843","0.194261116997116","0.177699283178286","0.882503371555492","1.32170868790332","4.1056546355222","5.65176137925991","4.52592511304961","6.44871430913487","4.01885156830285","6.99591449795921","9.00254787835104","11.3027288630856","14.4451471666814","17.6387904004907","20.6926943342161","30.8950515658478","36.5758528996757","56.5484197213858","57.8671829350021","66.9957478104109","63.5816697946235","61.3181516668393","60.5212052916129","63.4509465670409","63.5297581172624","64.0072170519786","67.2742105080817","68.7450265081955","70.1837736223112","72.2941821366921","69.8615524849665","66.4369519824686","68.2010730152475","",
"Finland","FIN","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fiji","FJI","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88","60","82","90","98","98","98","98","98","99","99","99","99","99","99","98","99","98","99","99","99","99","99","95","91","94","97","99","99","99","",
"France","FRA","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","24","26","28","29","28","35","35","39","42","47","51","64","74","78","82","83","88","90","90","91","93","95","95","95","",
"Faroe Islands","FRO","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","56","65","73","82","82","82","80","78","79","77","87","81","85","89","80","91","84","90","89","89","88","83","82","83","81","78","76","80","83","84","88","79","75","",
"Gabon","GAB","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","52","75","82","79","67","75","82","79","70","80","75","75","70","70","63","75","60","",
"United Kingdom","GBR","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93","93","93","92","",
"Georgia","GEO","Immunization, HepB3 (% of one-year-old children)","SH.IMM.HEPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55","61","51","48","64","79","84","94","89","54","95","89","92","96","91","94","92","91","93","94","88","85","85","",
