Country,Year,Life expectancy,Adult mortality,Infant deaths,Alcohol,Percentage expenditure,Hepatitis B,Measles,BMI,Polio,Total expenditure,Diphtheria,HIV/AIDS,Thinness 1-19 years,Income composition of resources,Schooling
Afghanistan,2010,58.8,279.0,4.31748811353631,0.01,4.39048287170673,66.0,7.595889917718538,16.7,66.0,9.2,66.0,0.09531017980432493,18.4,0.448,9.2
Afghanistan,2011,59.2,275.0,4.276666119016055,0.01,2.091507047709576,68.0,8.01102337918644,17.2,68.0,7.87,68.0,0.09531017980432493,18.2,0.454,9.5
Afghanistan,2012,59.5,272.0,4.248495242049359,0.01,4.371776977189467,67.0,7.933079771880415,17.6,67.0,8.52,67.0,0.09531017980432493,17.9,0.463,9.8
Afghanistan,2013,59.9,268.0,4.204692619390966,0.01,4.307023452400663,64.0,6.066108090103747,18.1,62.0,8.13,64.0,0.09531017980432493,17.7,0.47,9.9
Afghanistan,2014,59.9,271.0,4.174387269895637,0.01,4.311115607917084,62.0,6.20050917404269,18.6,58.0,8.18,62.0,0.09531017980432493,17.5,0.476,10.0
Albania,2000,72.6,11.0,0.6931471805599453,3.66,4.529492958027057,96.0,6.4967749901858625,45.0,97.0,6.26,97.0,0.09531017980432493,2.1,0.656,10.7
Albania,2001,73.6,14.0,0.6931471805599453,4.25,4.576828022375532,96.0,2.9444389791664403,46.0,97.0,6.0,97.0,0.09531017980432493,2.1,0.662,10.6
Albania,2002,73.3,15.0,0.6931471805599453,3.73,4.6588712784519215,96.0,2.833213344056216,46.9,98.0,6.3,98.0,0.09531017980432493,2.0,0.67,10.7
Albania,2003,72.8,18.0,0.6931471805599453,4.29,2.7548885455196648,97.0,2.1972245773362196,47.9,97.0,6.27,97.0,0.09531017980432493,1.9,0.674,10.7
Albania,2004,73.0,17.0,0.6931471805599453,4.54,5.406466590142783,99.0,2.0794415416798357,48.9,98.0,6.38,97.0,0.09531017980432493,1.8,0.681,10.9
Albania,2005,73.5,15.0,0.6931471805599453,5.16,3.3319588167807677,98.0,1.9459101490553132,49.9,97.0,6.12,98.0,0.09531017980432493,1.8,0.685,10.8
Albania,2006,74.2,99.0,0.6931471805599453,5.31,1.4591158739967494,98.0,4.23410650459726,5.8,97.0,5.86,97.0,0.09531017980432493,1.7,0.696,11.4
Albania,2007,75.9,9.0,0.6931471805599453,5.58,3.50395107089853,98.0,3.1354942159291497,51.7,99.0,6.1,98.0,0.09531017980432493,1.6,0.703,11.6
Albania,2008,75.3,1.0,0.6931471805599453,5.61,3.6275908050833463,99.0,0.0,52.6,99.0,5.87,99.0,0.09531017980432493,1.6,0.713,12.0
Albania,2009,76.1,91.0,0.6931471805599453,5.79,5.855232229409847,98.0,0.0,53.5,98.0,5.79,98.0,0.09531017980432493,1.5,0.721,12.2
Albania,2010,76.2,91.0,0.6931471805599453,5.28,3.757069671326781,99.0,2.3978952727983707,54.3,99.0,5.34,99.0,0.09531017980432493,1.4,0.725,12.5
Albania,2011,76.6,88.0,0.0,5.37,6.082360681148413,99.0,3.367295829986474,55.1,99.0,5.71,99.0,0.09531017980432493,1.4,0.738,13.3
Albania,2012,76.9,86.0,0.0,5.14,6.024520519106913,99.0,2.302585092994046,55.8,99.0,5.59,99.0,0.09531017980432493,1.3,0.752,14.2
Albania,2013,77.2,84.0,0.0,4.76,6.068140775698127,99.0,0.0,56.5,99.0,5.66,99.0,0.09531017980432493,1.3,0.759,14.2
Albania,2014,77.5,8.0,0.0,4.51,6.063201472765545,98.0,0.0,57.2,98.0,5.88,98.0,0.09531017980432493,1.2,0.761,14.2
Algeria,2000,71.3,145.0,3.091042453358316,0.25,5.046362370576019,81.0,0.0,44.4,86.0,3.49,86.0,0.09531017980432493,6.5,0.636,10.7
Algeria,2001,71.4,145.0,3.044522437723423,0.23,5.003852821038969,81.0,7.8961806086154915,45.3,89.0,3.84,89.0,0.09531017980432493,6.4,0.644,10.9
Algeria,2002,71.6,145.0,3.044522437723423,0.36,5.007376552159703,81.0,8.676416696964216,46.1,86.0,3.73,86.0,0.09531017980432493,6.3,0.653,11.1
Algeria,2003,71.7,146.0,3.044522437723423,0.34,3.258808692071887,81.0,9.640498092674719,47.0,87.0,3.6,87.0,0.09531017980432493,6.3,0.663,11.5
Algeria,2004,72.3,14.0,2.995732273553991,0.45,5.3999425600682835,81.0,8.098642843759418,47.9,86.0,3.54,86.0,0.09531017980432493,6.2,0.673,11.7
Algeria,2005,72.9,136.0,2.995732273553991,0.5,1.266644108986823,83.0,7.741967899820685,48.9,88.0,3.24,88.0,0.09531017980432493,6.1,0.68,12.0
Algeria,2006,73.4,132.0,3.044522437723423,0.36,5.603004761160019,8.0,6.851184927493743,49.8,95.0,3.36,95.0,0.09531017980432493,6.1,0.686,12.3
Algeria,2007,73.8,129.0,3.044522437723423,0.44,5.772449723667242,9.0,0.0,5.8,95.0,3.82,95.0,0.09531017980432493,6.0,0.69,12.3
Algeria,2008,74.1,126.0,3.044522437723423,0.46,3.7861688861783276,91.0,5.384495062789089,51.8,92.0,4.2,93.0,0.09531017980432493,6.0,0.697,12.6
Algeria,2009,74.4,123.0,3.044522437723423,0.5,5.866648329351803,94.0,4.68213122712422,52.8,94.0,5.36,95.0,0.09531017980432493,6.0,0.705,13.1
Algeria,2010,74.7,119.0,3.091042453358316,0.45,6.067771638586006,95.0,4.6443908991413725,53.9,95.0,5.12,95.0,0.09531017980432493,5.9,0.714,13.6
Algeria,2011,74.9,116.0,3.091042453358316,0.56,6.23441472669076,95.0,4.727387818712341,55.0,95.0,5.29,95.0,0.09531017980432493,5.9,0.724,14.0
Algeria,2012,75.1,113.0,3.091042453358316,0.66,6.32243252627382,95.0,2.9444389791664403,56.1,95.0,6.14,95.0,0.09531017980432493,5.9,0.732,14.4
Algeria,2013,75.3,112.0,3.091042453358316,0.53,6.301612504587525,95.0,3.258096538021482,57.2,95.0,7.12,95.0,0.09531017980432493,5.9,0.737,14.4
Algeria,2014,75.4,11.0,3.091042453358316,0.01,4.01163878101945,95.0,0.0,58.4,95.0,7.21,95.0,0.09531017980432493,6.0,0.741,14.4
Angola,2000,45.3,48.0,4.584967478670572,1.85,2.8262179058750525,73.0,7.705262474866325,15.4,3.0,2.79,28.0,1.0986122886681098,1.9,0.382,4.6
Angola,2001,45.7,44.0,4.584967478670572,2.58,3.4455311696510735,73.0,9.110188490025742,15.8,41.0,5.38,38.0,1.1314021114911006,1.7,0.391,5.1
Angola,2002,46.5,391.0,4.574710978503383,2.82,3.2203923543558357,73.0,9.388151773292252,16.3,37.0,3.63,41.0,1.1939224684724346,1.5,0.401,5.5
Angola,2003,46.8,388.0,4.564348191467836,3.49,3.6091187602749266,73.0,7.087573705557973,16.8,4.0,4.41,4.0,1.2237754316221157,1.4,0.406,5.9
Angola,2004,47.1,386.0,4.553876891600541,3.53,2.2891733057069223,73.0,3.4011973816621555,17.2,4.0,4.71,4.0,1.252762968495368,1.2,0.415,6.4
Angola,2005,47.4,382.0,4.532599493153256,5.04,4.59705183285554,73.0,5.556828061699537,17.7,39.0,4.1,38.0,1.2809338454620642,1.0,0.426,6.8
Angola,2006,47.7,381.0,4.51085950651685,5.84,3.2614328218169044,73.0,6.641182169740591,18.2,36.0,4.54,34.0,1.252762968495368,9.8,0.439,7.2
Angola,2007,48.2,375.0,4.477336814478207,6.35,5.224785699221859,73.0,6.922643891475888,18.8,75.0,3.38,73.0,1.2809338454620642,9.6,0.454,7.7
Angola,2008,48.7,371.0,4.442651256490317,7.07,5.525095089453854,69.0,5.583496308781699,19.3,65.0,3.84,69.0,1.2809338454620642,9.5,0.468,8.1
Angola,2009,49.1,369.0,4.406719247264253,7.01,5.365615821655336,61.0,7.940227765145702,19.8,63.0,4.37,6.0,1.252762968495368,9.3,0.48,8.5
Angola,2010,49.6,365.0,4.3694478524670215,7.8,5.260894487961259,77.0,7.0825485693553,2.4,81.0,3.39,77.0,1.252762968495368,9.1,0.488,9.0
Angola,2011,51.0,361.0,4.330733340286331,8.06,5.4843461767283666,72.0,7.27931883541462,21.0,73.0,3.38,71.0,1.252762968495368,8.9,0.495,9.4
Angola,2012,56.0,358.0,4.290459441148391,8.24,5.549552719535908,75.0,8.402679804627477,21.5,75.0,3.3,75.0,1.2809338454620642,8.8,0.508,10.3
Angola,2013,51.1,355.0,4.248495242049359,8.1,3.609797631038728,77.0,9.050640993218508,22.1,67.0,4.26,77.0,1.1939224684724346,8.6,0.523,11.4
Angola,2014,51.7,348.0,4.219507705176107,8.33,3.21749935797215,64.0,9.367344120785848,22.7,68.0,3.31,64.0,1.0986122886681098,8.5,0.527,11.4
Antigua and Barbuda,2000,73.6,156.0,0.0,7.27,7.0288603195538855,96.0,0.0,38.2,96.0,4.13,95.0,0.09531017980432493,3.7,0.0,0.0
Antigua and Barbuda,2001,73.8,154.0,0.0,7.51,5.10453658976805,96.0,0.0,38.9,99.0,4.48,97.0,0.09531017980432493,3.6,0.0,0.0
Antigua and Barbuda,2002,74.0,153.0,0.0,7.21,6.833470844875305,99.0,0.0,39.5,93.0,4.41,98.0,0.09531017980432493,3.6,0.0,0.0
Antigua and Barbuda,2003,74.2,151.0,0.0,7.16,7.055369148053145,99.0,0.0,4.1,99.0,4.53,99.0,0.09531017980432493,3.5,0.0,0.0
Antigua and Barbuda,2004,74.4,149.0,0.0,7.28,3.172327133241203,97.0,0.0,4.8,97.0,4.21,97.0,0.09531017980432493,3.5,0.0,0.0
Antigua and Barbuda,2005,74.6,147.0,0.0,8.15,7.283865851704862,99.0,0.0,41.4,98.0,4.41,99.0,0.09531017980432493,3.5,0.0,0.0
Antigua and Barbuda,2006,74.8,145.0,0.0,8.93,5.381346506237099,99.0,0.0,42.0,99.0,4.34,99.0,0.09531017980432493,3.4,0.773,14.7
Antigua and Barbuda,2007,75.0,144.0,0.0,8.64,5.556698828638881,97.0,0.0,42.6,98.0,4.27,99.0,0.09531017980432493,3.4,0.781,14.5
Antigua and Barbuda,2008,75.2,142.0,0.0,8.27,5.202776642420411,98.0,0.0,43.2,99.0,4.69,99.0,0.09531017980432493,3.4,0.786,14.4
Antigua and Barbuda,2009,75.4,14.0,0.0,7.82,5.013024008844174,98.0,0.0,43.8,98.0,4.86,99.0,0.09531017980432493,3.4,0.788,14.2
Antigua and Barbuda,2010,75.6,138.0,0.0,7.84,7.593352498679419,98.0,0.0,44.4,99.0,5.63,98.0,0.09531017980432493,3.3,0.783,14.1
Antigua and Barbuda,2011,75.7,136.0,0.0,7.84,7.502117674080872,99.0,0.0,45.1,99.0,5.65,99.0,0.09531017980432493,3.3,0.782,14.1
Antigua and Barbuda,2012,75.9,134.0,0.0,8.18,7.676580197040668,98.0,0.0,45.7,97.0,5.39,98.0,0.1823215567939546,3.3,0.778,13.8
Antigua and Barbuda,2013,76.1,133.0,0.0,8.58,7.597110465009863,99.0,0.0,46.4,98.0,5.33,99.0,0.1823215567939546,3.3,0.781,13.9
Antigua and Barbuda,2014,76.2,131.0,0.0,8.56,7.793174253954877,99.0,0.0,47.0,96.0,5.54,99.0,0.1823215567939546,3.3,0.782,13.9
Argentina,2000,74.1,137.0,2.5649493574615367,7.68,7.207878598664527,66.0,1.9459101490553132,54.0,88.0,9.21,83.0,0.09531017980432493,1.2,0.764,15.0
Argentina,2001,74.0,138.0,2.5649493574615367,7.76,4.820385327157105,66.0,0.0,54.6,85.0,9.38,83.0,0.09531017980432493,1.2,0.771,15.6
Argentina,2002,74.1,138.0,2.5649493574615367,7.81,6.1552548613660285,66.0,0.0,55.1,94.0,8.31,93.0,0.09531017980432493,1.2,0.776,16.3
Argentina,2003,74.1,137.0,2.4849066497880004,7.62,4.070473118347059,73.0,0.0,55.7,95.0,8.22,96.0,0.09531017980432493,1.2,0.77,16.4
Argentina,2004,74.7,13.0,2.4849066497880004,7.63,6.579759943278847,81.0,0.0,56.3,91.0,6.84,98.0,0.09531017980432493,1.1,0.775,16.3
Argentina,2005,74.9,127.0,2.4849066497880004,7.53,4.576426354754442,88.0,0.0,56.9,95.0,6.85,98.0,0.09531017980432493,1.1,0.78,16.3
Argentina,2006,75.2,127.0,2.4849066497880004,7.75,6.869198911406456,84.0,0.0,57.5,92.0,6.68,91.0,0.09531017980432493,1.1,0.782,16.1
Argentina,2007,74.8,129.0,2.3978952727983707,8.16,7.009100873519826,85.0,0.0,58.0,92.0,6.49,91.0,0.09531017980432493,1.1,0.788,16.3
Argentina,2008,75.4,126.0,2.3978952727983707,8.41,7.254697817330266,9.0,0.0,58.6,94.0,6.66,93.0,0.09531017980432493,1.0,0.792,16.3
Argentina,2009,75.6,126.0,2.3978952727983707,8.33,7.243543440963352,94.0,1.3862943611198906,59.2,97.0,7.63,94.0,0.09531017980432493,1.0,0.794,16.5
Argentina,2010,75.5,121.0,2.3978952727983707,8.15,5.239686454408513,94.0,2.8903717578961645,59.8,95.0,6.55,94.0,0.09531017980432493,1.0,0.802,16.8
Argentina,2011,75.7,12.0,2.302585092994046,8.11,7.316767064853229,91.0,1.3862943611198906,6.4,93.0,5.89,91.0,0.09531017980432493,1.0,0.816,17.1
Argentina,2012,75.9,12.0,2.302585092994046,8.35,7.033998429400421,91.0,1.0986122886681098,61.0,99.0,5.2,91.0,0.09531017980432493,1.0,0.822,17.2
Argentina,2013,76.0,119.0,2.1972245773362196,8.28,6.9105477085191716,94.0,0.0,61.6,99.0,4.99,94.0,0.09531017980432493,1.0,0.823,17.3
Argentina,2014,76.2,118.0,2.1972245773362196,7.93,6.743318919802188,94.0,0.6931471805599453,62.2,92.0,4.79,94.0,0.09531017980432493,1.0,0.825,17.3
Armenia,2000,72.0,142.0,0.6931471805599453,2.9,3.519166134294296,55.0,2.772588722239781,47.1,96.0,6.25,93.0,0.09531017980432493,2.1,0.639,11.2
Armenia,2001,72.6,141.0,0.6931471805599453,2.86,3.9925652213112977,69.0,4.248495242049359,47.4,97.0,5.94,94.0,0.09531017980432493,2.1,0.644,11.1
Armenia,2002,72.6,134.0,0.6931471805599453,2.86,4.063509064533305,91.0,3.713572066704308,47.8,96.0,5.4,94.0,0.09531017980432493,2.1,0.645,10.8
Armenia,2003,72.7,134.0,0.6931471805599453,3.03,2.12124223487826,93.0,1.6094379124341003,48.1,96.0,5.56,94.0,0.09531017980432493,2.0,0.657,10.8
Armenia,2004,73.0,132.0,0.6931471805599453,3.81,4.592499019159473,91.0,7.486613313139955,48.4,93.0,5.5,91.0,0.09531017980432493,2.0,0.668,10.9
Armenia,2005,73.0,137.0,0.6931471805599453,4.25,3.0548606367689115,91.0,7.732807530422021,48.8,92.0,5.25,9.0,0.09531017980432493,2.0,0.679,10.9
Armenia,2006,72.9,141.0,0.6931471805599453,4.01,5.503440630190707,78.0,4.927253685157205,49.2,87.0,4.58,87.0,0.09531017980432493,2.0,0.692,11.2
Armenia,2007,73.5,132.0,0.6931471805599453,3.99,3.8192978740252537,85.0,0.6931471805599453,49.7,9.0,4.31,88.0,0.09531017980432493,2.0,0.707,11.7
Armenia,2008,73.2,14.0,0.6931471805599453,3.96,1.3581258012933668,89.0,0.0,5.1,91.0,3.8,89.0,0.09531017980432493,2.0,0.721,12.3
Armenia,2009,73.3,137.0,0.6931471805599453,3.96,5.309185820846361,93.0,0.0,5.7,94.0,4.55,93.0,0.09531017980432493,2.0,0.725,11.9
Armenia,2010,73.5,132.0,0.6931471805599453,4.23,5.417526945984604,94.0,1.0986122886681098,51.2,96.0,4.56,94.0,0.09531017980432493,2.0,0.72,12.3
Armenia,2011,73.9,128.0,0.6931471805599453,4.09,5.568330696795552,95.0,0.0,51.9,96.0,3.71,95.0,0.09531017980432493,2.0,0.729,12.7
Armenia,2012,74.4,121.0,0.6931471805599453,3.89,5.617326211198904,95.0,0.0,52.6,96.0,4.48,95.0,0.09531017980432493,2.0,0.732,12.7
Armenia,2013,74.4,123.0,0.6931471805599453,3.79,5.636320863049348,95.0,2.3978952727983707,53.3,96.0,4.55,95.0,0.09531017980432493,2.1,0.736,12.7
Armenia,2014,74.6,12.0,0.6931471805599453,3.91,5.692413809919565,93.0,2.6390573296152584,54.1,95.0,4.48,93.0,0.09531017980432493,2.1,0.739,12.7
Australia,2000,79.5,78.0,0.6931471805599453,10.17,5.852740725698742,94.0,4.6913478822291435,58.2,9.0,8.8,9.0,0.09531017980432493,0.7,0.897,20.4
Australia,2001,79.9,75.0,0.6931471805599453,9.53,8.027901096072396,94.0,4.955827057601261,59.0,91.0,8.18,92.0,0.09531017980432493,0.7,0.899,20.5
Australia,2002,79.9,73.0,0.6931471805599453,9.84,3.858351768079221,95.0,3.4965075614664802,59.6,92.0,8.39,92.0,0.09531017980432493,0.7,0.902,20.1
Australia,2003,83.0,71.0,0.6931471805599453,9.97,8.25076391726074,95.0,4.5217885770490405,6.3,92.0,8.32,93.0,0.09531017980432493,0.7,0.905,20.6
Australia,2004,86.0,69.0,0.6931471805599453,9.84,6.379390694592229,95.0,4.2626798770413155,6.9,92.0,8.57,92.0,0.09531017980432493,0.7,0.908,20.7
Australia,2005,81.0,67.0,0.6931471805599453,10.3,6.3632576697743275,95.0,2.3978952727983707,61.5,92.0,8.45,92.0,0.09531017980432493,0.7,0.91,20.3
Australia,2006,81.2,66.0,0.6931471805599453,10.31,8.730377233782361,95.0,0.0,62.0,92.0,8.49,92.0,0.09531017980432493,0.7,0.915,20.3
Australia,2007,81.3,66.0,0.6931471805599453,10.56,6.772621012956407,94.0,2.4849066497880004,62.5,92.0,8.53,92.0,0.09531017980432493,0.7,0.918,19.0
Australia,2008,81.3,66.0,0.6931471805599453,10.76,9.053486817655761,94.0,4.189654742026425,62.9,92.0,8.78,92.0,0.09531017980432493,0.7,0.921,19.1
Australia,2009,81.7,66.0,0.6931471805599453,10.62,8.878117625528336,94.0,4.653960350157523,63.4,92.0,9.5,92.0,0.09531017980432493,0.7,0.925,19.1
Australia,2010,81.9,64.0,0.6931471805599453,10.52,9.091194889072415,92.0,4.2626798770413155,63.9,92.0,9.2,92.0,0.09531017980432493,0.7,0.927,19.5
Australia,2011,82.0,63.0,0.6931471805599453,10.3,9.30449217839777,92.0,5.25227342804663,64.4,92.0,9.2,92.0,0.09531017980432493,0.6,0.927,19.8
Australia,2012,82.3,61.0,0.6931471805599453,10.03,9.368710586745841,91.0,5.298317366548036,65.0,92.0,9.36,92.0,0.09531017980432493,0.6,0.93,20.1
Australia,2013,82.5,61.0,0.6931471805599453,9.87,9.370403863201267,91.0,5.0689042022202315,65.5,91.0,9.36,91.0,0.09531017980432493,0.6,0.933,20.3
Australia,2014,82.7,6.0,0.6931471805599453,9.71,9.284553478960188,91.0,5.831882477283517,66.1,92.0,9.42,92.0,0.09531017980432493,0.6,0.936,20.4
Austria,2000,78.1,96.0,0.0,13.2,8.177081883359206,33.0,0.0,5.1,71.0,1.6,81.0,0.09531017980432493,1.7,0.833,15.4
Austria,2001,78.6,92.0,0.0,12.4,8.184192448422317,44.0,0.0,5.6,83.0,1.12,84.0,0.09531017980432493,1.7,0.837,15.5
Austria,2002,78.7,9.0,0.0,12.5,8.289051602695906,81.0,0.0,51.2,82.0,1.27,83.0,0.09531017980432493,1.7,0.847,16.1
Austria,2003,78.8,88.0,0.0,12.2,6.225411280345961,83.0,4.51085950651685,51.7,84.0,1.48,84.0,0.09531017980432493,1.7,0.837,14.7
Austria,2004,79.3,86.0,0.0,12.1,8.578829528288123,83.0,2.772588722239781,52.2,83.0,1.56,83.0,0.09531017980432493,1.7,0.841,14.7
Austria,2005,79.4,85.0,0.0,12.4,8.698445514950658,86.0,2.302585092994046,52.7,86.0,1.53,86.0,0.09531017980432493,1.7,0.848,14.9
Austria,2006,79.8,81.0,0.0,12.4,4.2616792861946795,83.0,3.1780538303479458,53.2,83.0,1.35,83.0,0.09531017980432493,1.7,0.854,15.0
Austria,2007,81.0,8.0,0.0,12.5,8.916622037898605,85.0,3.044522437723423,53.7,85.0,1.4,85.0,0.09531017980432493,1.7,0.86,15.2
Austria,2008,84.0,76.0,0.0,12.0,9.027706565037224,83.0,6.1070228877422545,54.2,83.0,1.6,83.0,0.09531017980432493,1.7,0.864,15.1
Austria,2009,82.0,77.0,0.0,11.3,8.993993376412169,83.0,3.912023005428146,54.7,83.0,11.19,83.0,0.09531017980432493,1.7,0.87,15.3
Austria,2010,84.0,75.0,0.0,12.1,8.912504089454613,86.0,3.970291913552122,55.2,86.0,11.17,86.0,0.09531017980432493,1.7,0.872,15.4
Austria,2011,88.0,73.0,0.0,12.04,9.020789557796853,89.0,4.23410650459726,55.7,89.0,1.94,89.0,0.09531017980432493,1.7,0.88,15.7
Austria,2012,88.0,7.0,0.0,12.26,8.972003529298954,92.0,3.6109179126442243,56.1,92.0,11.17,92.0,0.09531017980432493,1.8,0.884,15.7
Austria,2013,81.1,68.0,0.0,11.82,4.517267631217479,95.0,0.0,56.6,95.0,11.14,95.0,0.09531017980432493,1.8,0.887,15.7
Austria,2014,81.4,66.0,0.0,12.32,9.030159744516626,98.0,4.770684624465665,57.1,98.0,11.21,98.0,0.09531017980432493,1.8,0.892,15.9
Azerbaijan,2000,66.6,16.0,2.302585092994046,0.65,3.586144002181703,5.0,5.351858133476067,42.1,75.0,4.67,76.0,0.09531017980432493,3.2,0.636,10.1
Azerbaijan,2001,67.5,151.0,2.1972245773362196,0.51,1.6300617861406037,5.0,6.354370040797351,42.6,77.0,4.48,77.0,0.09531017980432493,3.1,0.642,10.4
Azerbaijan,2002,67.8,146.0,2.0794415416798357,0.55,3.697158509708863,5.0,8.378850241794492,43.1,8.0,4.47,76.0,0.09531017980432493,3.1,0.651,10.6
Azerbaijan,2003,67.8,154.0,2.0794415416798357,0.55,3.770802972645638,51.0,7.590346945602565,43.6,79.0,6.56,77.0,0.09531017980432493,3.0,0.659,10.8
Azerbaijan,2004,68.4,154.0,1.9459101490553132,0.62,2.2614302264113655,5.0,6.71901315438526,44.2,78.0,7.92,77.0,0.09531017980432493,3.0,0.668,11.0
Azerbaijan,2005,68.4,162.0,1.9459101490553132,0.73,4.410235385836536,49.0,7.122059881629142,44.7,79.0,7.86,75.0,0.09531017980432493,2.9,0.675,11.2
Azerbaijan,2006,69.2,154.0,1.9459101490553132,0.85,4.669399844432491,52.0,5.407171771460119,45.3,8.0,6.17,78.0,0.09531017980432493,2.9,0.682,10.7
Azerbaijan,2007,73.0,14.0,1.9459101490553132,1.02,5.176210242607467,62.0,0.0,45.9,81.0,5.1,79.0,0.09531017980432493,2.8,0.708,11.6
Azerbaijan,2008,73.0,141.0,1.9459101490553132,1.18,5.333981828151132,68.0,1.791759469228055,46.6,85.0,4.37,81.0,0.09531017980432493,2.8,0.719,11.6
Azerbaijan,2009,78.0,132.0,1.9459101490553132,2.1,3.156420828112131,74.0,0.0,47.3,84.0,5.85,81.0,0.09531017980432493,2.8,0.728,11.6
Azerbaijan,2010,71.1,13.0,1.791759469228055,1.98,5.51168771855236,8.0,0.0,48.0,85.0,5.33,81.0,0.09531017980432493,2.8,0.737,11.7
Azerbaijan,2011,71.6,125.0,1.791759469228055,1.98,5.576489483629631,84.0,0.0,48.8,91.0,5.1,87.0,0.09531017980432493,2.8,0.741,11.7
Azerbaijan,2012,71.9,123.0,1.791759469228055,0.01,5.658123771540717,88.0,0.0,49.7,92.0,5.37,89.0,0.09531017980432493,2.8,0.742,11.8
Azerbaijan,2013,72.2,121.0,1.791759469228055,2.14,5.6227585674860645,93.0,5.10594547390058,5.6,96.0,5.54,93.0,0.09531017980432493,2.8,0.745,11.9
Azerbaijan,2014,72.5,119.0,1.791759469228055,0.01,5.7274418098594735,94.0,0.0,51.5,97.0,6.4,94.0,0.09531017980432493,2.8,0.752,12.2
Bahamas,2000,72.6,192.0,0.0,12.15,0.0,21.0,0.0,54.4,91.0,5.21,99.0,0.09531017980432493,2.7,0.0,12.0
Bahamas,2001,72.9,189.0,0.0,11.64,0.0,21.0,0.0,55.2,98.0,5.15,99.0,0.1823215567939546,2.7,0.779,12.1
Bahamas,2002,73.1,19.0,0.0,10.85,0.0,89.0,0.0,56.0,93.0,5.26,94.0,0.09531017980432493,2.6,0.781,12.1
Bahamas,2003,73.2,189.0,0.0,10.68,0.0,88.0,0.0,56.7,93.0,5.62,92.0,0.09531017980432493,2.6,0.783,12.2
Bahamas,2004,73.8,174.0,0.0,10.1,0.0,93.0,0.0,57.4,92.0,6.2,93.0,0.09531017980432493,2.6,0.784,12.3
Bahamas,2005,74.1,172.0,0.0,10.49,0.0,93.0,0.0,58.1,93.0,5.95,93.0,0.09531017980432493,2.6,0.786,12.4
Bahamas,2006,74.2,171.0,0.0,11.07,0.0,96.0,0.0,58.7,94.0,6.93,95.0,0.09531017980432493,2.5,0.788,12.4
Bahamas,2007,74.4,167.0,0.0,10.75,0.0,93.0,0.0,59.4,95.0,7.8,95.0,0.09531017980432493,2.5,0.79,12.5
Bahamas,2008,74.5,167.0,0.0,10.15,0.0,9.0,0.0,6.1,93.0,7.3,93.0,0.09531017980432493,2.5,0.791,12.6
Bahamas,2009,74.6,168.0,0.0,9.29,0.0,95.0,0.0,6.7,97.0,7.43,96.0,0.09531017980432493,2.5,0.791,12.6
Bahamas,2010,75.0,161.0,0.0,9.19,0.0,98.0,0.0,61.3,97.0,7.44,99.0,0.1823215567939546,2.5,0.788,12.6
Bahamas,2011,75.0,162.0,0.0,9.34,0.0,95.0,0.0,62.0,97.0,7.63,98.0,0.09531017980432493,2.5,0.788,12.6
Bahamas,2012,74.9,167.0,0.0,9.5,0.0,96.0,0.0,62.6,99.0,7.43,98.0,0.1823215567939546,2.5,0.789,12.6
Bahamas,2013,74.8,172.0,0.0,9.42,0.0,97.0,0.0,63.2,97.0,7.5,97.0,0.09531017980432493,2.5,0.79,12.6
Bahamas,2014,75.4,16.0,0.0,9.45,0.0,96.0,0.0,63.8,96.0,7.74,96.0,0.09531017980432493,2.5,0.789,12.6
